,0
0," Hey! Yes, we have received the funding from SISFS though it takes hell lot of time (60 day or more) to get funds in your account after approval."
1," Do we have to repay the amount, either in success or failure case? Any interest to be paid?"
2, scam
3, Why do you say that?
1, I have attempted startup avenues from govt. all of them are scam.
0,scam
1,Why do you say that?
2,I have attempted startup avenues from govt. all of them are scam.
3,"Hey! Yes, we have received the funding from SISFS though it takes hell lot of time (60 day or more) to get funds in your account after approval."
4,"Do we have to repay the amount, either in success or failure case? Any interest to be paid?"
0, Hope thay he doesn't create an extra beaurocracy for administrating the seed fund.
1, Only for babu's incompetent son
2," Luckily India has 50,000 startups: https://economictimes.indiatimes.com/small-biz/startups/newsbuzz/with-50000-startups-registered-india-aims-for-as-many-more-by-2024/articleshow/71440117.cms India startup jobs jump 126%: https://www.financialexpress.com/industry/sme/startup-india-under-modis-pet-scheme-startup-jobs-jump-126-this-many-companies-recognised/2087584/ India Witnessed Addition Of 1,600 New Tech Start-Ups,12 New Unicorns In 2020: https://swarajyamag.com/insta/india-witnessed-addition-of-1600-new-tech-start-ups12-new-unicorns-in-2020-nasscom-report"
3, Some Anti Indians and Jihadis still maintain a narrative that India is doomed. Anyone who speaks down about India at this point is a massive hypocrite and blatant Anti Nationals. I feel disgusted about such Anti Nationals.
4," You need to understand looser are always pessimistic, right now it's the islamists and liberals. So they will always voice their opinion on the internet, hence they are loud. Before 2014 BJP used to rule the internet and they dominated so much that it was the origin of so called ""BJP IT Cell"" term was created even though it was the people who were pro BJP. TLDR Incumbency"
5, They are also the first ones to take advantage of such initiatives
6, ree sanghi bhaag
7, Its good to know that India has the 3rd largest startup ecosystem and the government is trying to make it bigger. But after seeing the difference between 2 and 3 we need to do more.
8," They weren't really successful with the last round of Startup India, I am sceptical about the Babu's efforts this time around."
9," It looks like OP posted an AMP link. These should load faster, but Google's AMP is controversial because of concerns over privacy and the Open Web. You might want to visit the canonical page instead: https://m.economictimes.com/tech/startups/pm-narendra-modi-announces-rs-1000-crore-startup-india-seed-fund/articleshow/80304710.cms I'm a bot | Why & About | Summon me with u/AmputatorBot"
10, This is useless
11, They should have done this long time ago. They waste so much money in pulling companies from debt especially all those loss making PSUs. Just look at the portfolio of LIC investments you will see how much stuff is going to waste
12, well its a good sign https://www.startupranking.com/countries
0,"It looks like OP posted an AMP link. These should load faster, but Google's AMP is controversial because of concerns over privacy and the Open Web. You might want to visit the canonical page instead: https://m.economictimes.com/tech/startups/pm-narendra-modi-announces-rs-1000-crore-startup-india-seed-fund/articleshow/80304710.cms I'm a bot | Why & About | Summon me with u/AmputatorBot"
1,"Luckily India has 50,000 startups: https://economictimes.indiatimes.com/small-biz/startups/newsbuzz/with-50000-startups-registered-india-aims-for-as-many-more-by-2024/articleshow/71440117.cms India startup jobs jump 126%: https://www.financialexpress.com/industry/sme/startup-india-under-modis-pet-scheme-startup-jobs-jump-126-this-many-companies-recognised/2087584/ India Witnessed Addition Of 1,600 New Tech Start-Ups,12 New Unicorns In 2020: https://swarajyamag.com/insta/india-witnessed-addition-of-1600-new-tech-start-ups12-new-unicorns-in-2020-nasscom-report"
2,Hope thay he doesn't create an extra beaurocracy for administrating the seed fund.
3,Only for babu's incompetent son
4,Some Anti Indians and Jihadis still maintain a narrative that India is doomed. Anyone who speaks down about India at this point is a massive hypocrite and blatant Anti Nationals. I feel disgusted about such Anti Nationals.
5,"You need to understand looser are always pessimistic, right now it's the islamists and liberals. So they will always voice their opinion on the internet, hence they are loud. Before 2014 BJP used to rule the internet and they dominated so much that it was the origin of so called ""BJP IT Cell"" term was created even though it was the people who were pro BJP. TLDR Incumbency"
6,They are also the first ones to take advantage of such initiatives
7,ree sanghi bhaag
9,Its good to know that India has the 3rd largest startup ecosystem and the government is trying to make it bigger. But after seeing the difference between 2 and 3 we need to do more.
12,This is useless
13,well its a good sign https://www.startupranking.com/countries
14,They should have done this long time ago. They waste so much money in pulling companies from debt especially all those loss making PSUs. Just look at the portfolio of LIC investments you will see how much stuff is going to waste
