,0
0, so much planning went into this entire demonetization exercise that  it we have to create multiple rules every day. By last count 150+ rules in 22 days.
1," Hey, that's how proactive the current government is. Like a chess game, they are analyzing the situation and changing their tactics after every move. BIG /s"
2, By last count 150+ rules in 22 days. And many of these are liekly to be downright unconstitutional. This rule for example: who gives the government any right to tell me how much of my money I can withdraw? Limiting every single jan dhan account because some might be involved in illegal activity is saying something like everyone in bombay is a murder suspect because someone got killed on a local train.
3, Jugaad of Jugaads. Indian minds are very innovative to find flaws and loop holes in system and abuse them. To come up with an non ab-usable law for Indians will be a tough. Instead keep the options open and improvise as and when there is a loop hole. Creates a lot of confusion on scheme of this scale unfortunately!
4, I am still confused about all the tax rules
5," infact i find this good. the BM hoarders are finding jugaads and the govt is smart to not implement all rules and 1 upping them with incremental rules. at the end of the day those who misuse others jan dhan account are fucked. specially those who used dormant accounts. true agility i must say, not making hard fast rules and sitting on them and watch them fail."
6," Release early,iterate often !"
7," The govt is being agile. For every gap that goes large scale, govt fixes/blocks it inn the same week.What's the problem?"
8, Its like a new patch where we find bug and fix it. nothing wrong with that.edit: lol tards
9," If government doesn't change rules fast enough, people complain bureaucracy is lethargic. If government actively tweaks rules, people try to keep a count as though that means something."
10,
11," Hah! If the genuine Jan dhan account holders wish to withdraw more than 10K, he/she'll have to write a letter, detailed accounts of where the money will go, bills/receipts of where the cash is used and wait for the supreme leader to let them have some cash? People speculated that the govt may be slightly disconnected with the ground realities, seems like Modi's hell bent on proving them right."
13," This is scary. The last thing we need is for the poor to have to bribe the bank officials to mark their case as 'genuine', just so as to be able to withdraw their own money."
14, I bet my money that this cap will also change in another 2 days. Govt and RBI is doing all A/B/C/D/E/...Z testing. It is almost like lets throw one by one idea on the wall and see what is sticking.
15, But the demonetisation is supposed to remove corruption and black money from the system! Are you saying that it will gasp fail?!!
1, If not for the /s in this sub you would never be able to tell who is sarcastic and who really means it.
2, someone actually commented shit like this for real
1," Also, once the note is made illegal, the government doesn't have any power to make it legal to use it on petrol pumps/hospitals etc etc. They violated the constitution on a number of issues. All hopes are on the supreme court now. Our opposition is a bunch of idiots."
2, Mudi thinks he is batman. Burn down the entire forest to catch one thief.
3," Alos, they're basically treating people who have cash as ""guilty until proven innocent"". Fundamental principles of justice are being violated here."
4, Look is the govt. freezing the bank accounts? There's only a limit on cash withdrawl right? So it's not like people don't have control of their money. I'm not a bhakt. But some limit on cash withdrawl was fine. As long as they didn't change the rules every hour.
6," unconstitutional Nope. The constitution does not go into currencies. The currency is only a promissory note, not a contract. At best, you can argue that one's constitutional right to life, livelihood, etc are affected. But the Government has the right to derecognise currencies."
7," There is no clause in constitution mentioning this.Please tell me, which fundamental right the government is suspendibg with this. Also,if you know or have read about jan dhan accounts, there were many restriction over its use from the beginning.You do not know.The jan dhan accounts were abused for hoarding black money and it was a right decision."
8," Thing is, Jan Dhan accounts were for the poor and the poor only. 10,000 a month isn't something the poor blow through. Also, the Government can freeze accounts perfectly legally, it is done in case of any suspicion of a crime, even if there is no conviction. Well, yes, technically everyone in the world is a suspect in cases where motives and killer's identity isn't clear. Until the list can be cut down to a shorter and shorter one, everyone is a suspect."
1, You have company in the Prime Minister and Finance Minster.
1, Lauda wasn't this fucking obvious before cancelling the currency? Even a child would've predicted  these accounts were going to be the first go to routes for assorting black money. Is this how you deal with corruption?By taking away basic rights of the citizens?
2," The government is one upping everyone of us, not just the cheats. Think about the poor sod who was saving up money to buy seeds and other farm supplies, had to deposit, and now can't get enough money out for the already delayed sowing."
3," It's like some of the BM hoarders are hiding behind some of the poor, but the government is asking every poor person to prove they are not hiding anything before letting them have their own money. This is stupid."
4, the BM hoarders are finding jugaads and the govt is smart to not implement all rules and 1 upping them with incremental rules. The total BM in cash .... 10% (maximum).
5, the BM hoarders are finding jugaads and the govt is smart to not implement all rules and 1 upping them with incremental rules. That's called lack of vision AND in desi terms being a chutiya to not know such things are possible.
1, Announce first think later
1, LOL. That's how street level thugs operate not the might republic of india
1," Its not a bug, its a feature. /s"
2, Patching on production! We too like to live dangerously!
0, Jan dhan account is opened mainly for poor..if suddenly their accounts have many thousand or lakhs then you need to plan to study that. Many people were questioning how jan dhan accounts which are dormant for some time suddenly getting so much money.now Govt considers their concern and you are talking something else.
1," 50K is the maximum amount you could deposit in a JD account, where are you getting the 'Lakhs' figure from? ""..then you need to plan to study that."" Exactly, you need a plan, not screw with the people with these silly schemes."
1, I've never seen a government brute force anything before. Go India
